ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber,truth3,pred3,pred6
0.0758812043482578,0.0114685644968902,-22.57749891281128,2,51.0,75.0,2.083333333333333,0,0.26,0.217,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.3250029316410391,0.004290215214891,-21.52249956130981,2,-21.0,39.0,0.5416666666666666,1,0.219,0.485,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1272685493174756,0.0070954390066232,-21.647499084472656,4,51.0,75.0,2.083333333333333,0,0.273,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1607231688705294,0.0110793247509121,-21.334999084472656,3,-21.0,3.0,0.0833333333333333,1,0.419,0.519,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.3465385287060106,0.0030426733297879,-18.12249994277954,1,51.0,75.0,1.25,0,0.147,0.437,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1644900545384543,0.009217106123224,-22.09499931335449,4,-21.0,39.0,0.5416666666666666,1,0.443,0.467,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0855872443834097,0.0168165694277896,-20.06750011444092,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1881583600039643,0.0080408377904296,-20.20249938964844,4,51.0,75.0,1.25,0,0.256,0.362,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1678397886901248,0.0096873124132634,-21.334999084472656,3,-21.0,3.0,0.0833333333333333,1,0.365,0.48,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1634925851367195,0.0087836106986729,-22.09499931335449,4,-21.0,39.0,0.5416666666666666,1,0.428,0.456,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2918870332060423,0.0079696623318509,-20.237500190734863,2,51.0,75.0,1.25,0,0.237,0.443,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2591311395292162,0.011740396505692,-18.56249952316284,4,51.0,75.0,1.25,0,0.276,0.391,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1694802603710647,0.0113858498379833,-22.09499931335449,5,-21.0,39.0,0.5416666666666666,1,0.516,0.519,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1929872096045848,0.0114554129763888,-21.10999870300293,4,51.0,75.0,2.083333333333333,0,0.318,0.377,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1283368362040262,0.0070150854289301,-21.647499084472656,4,51.0,75.0,2.083333333333333,0,0.271,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1903098073055317,0.0106222097543018,-21.10999870300293,4,51.0,75.0,2.083333333333333,0,0.313,0.377,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
