ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber
0.22258220751273383,0.011541046215269413,-19.96750020980835,3,51.0,75.0,2.0833333333333335,0,0.205,0.242,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.24833683581182003,0.00966502842530302,-19.00999927520752,3,51.0,75.0,2.0833333333333335,0,0.256,0.382,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.17123221175917858,0.009023758413583263,-21.334999084472656,3,-21.0,3.0,0.08333333333333333,1,0.339,0.461,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.5116452359019877,0.0049029127396321565,-14.532499631245932,3,25.0,73.0,1.2166666666666666,0,0.389,0.455,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4625355501012215,0.006486720676531309,-14.44499945640564,4,25.0,73.0,1.2166666666666666,0,0.36,0.398,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.45041805062370016,0.005968800399498336,-14.44499945640564,4,25.0,73.0,1.2166666666666666,0,0.344,0.388,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5108616512379285,0.005480424209458173,-15.042500019073486,5,25.0,73.0,1.2166666666666666,0,0.431,0.532,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4912136301917449,0.005207030701901,-16.021666367848713,6,-11.0,13.0,0.3611111111111111,1,0.291,0.489,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.27653429627615767,0.0008294381279462375,-13.513332764307657,2,49.0,73.0,2.0277777777777777,0,0.124,0.261,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4632795129339768,0.004474091079866643,-16.021666367848713,6,-11.0,13.0,0.3611111111111111,1,0.234,0.464,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.48313315600172857,0.005361111018667181,-14.53833270072937,6,-11.0,13.0,0.3611111111111111,1,0.306,0.474,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4666475856404588,0.004825513559372327,-15.4458327293396,5,-11.0,13.0,0.2708333333333333,1,0.249,0.459,48.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.47719766655414675,0.004503031073938099,-14.758333126703898,5,25.0,73.0,1.2166666666666666,0,0.44,0.484,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.41069282207797675,0.0041822409163862415,-13.38083267211914,4,25.0,49.0,1.3611111111111112,0,0.384,0.397,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.27676502795617075,0.0008402852501838906,-13.513332764307657,2,49.0,73.0,2.0277777777777777,0,0.125,0.261,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
