point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
17,415773.0947675342,9133406.736866722,3,2026-03-30,2026-04-11,2026-04-23,89,101,113,0.278,0.19,0.089,24,12
18,415786.0968833244,9133426.770096306,1,2025-09-07,2025-09-07,2025-10-01,250,250,274,0.372,0.248,0.124,24,0
18,415786.0968833244,9133426.770096306,2,2025-10-01,2025-10-13,2025-11-06,274,286,310,0.46,0.175,0.285,36,12
18,415786.0968833244,9133426.770096306,3,2025-11-06,2025-12-24,2026-01-17,310,358,17,0.343,0.212,0.168,72,48
18,415786.0968833244,9133426.770096306,4,2026-01-17,2026-01-29,2026-03-06,17,29,65,0.386,0.287,0.174,48,12
18,415786.0968833244,9133426.770096306,5,2026-03-06,2026-03-18,2026-04-23,65,77,113,0.484,0.131,0.353,48,12
19,415808.3047490244,9133460.639262948,1,2025-10-25,2025-12-24,2026-01-05,298,358,5,0.354,0.267,0.087,72,60
19,415808.3047490244,9133460.639262948,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.374,0.24,0.134,108,72
20,415808.70109873055,9133502.391487842,1,2025-10-01,2025-10-13,2025-10-25,274,286,298,0.365,0.285,0.08,24,12
20,415808.70109873055,9133502.391487842,2,2025-10-25,2025-12-24,2026-01-05,298,358,5,0.395,0.286,0.111,72,60
20,415808.70109873055,9133502.391487842,3,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.377,0.244,0.133,108,72
21,415805.76282324025,9133536.276680754,1,2025-09-19,2025-10-13,2025-10-25,262,286,298,0.39,0.236,0.155,36,24
21,415805.76282324025,9133536.276680754,2,2025-10-25,2025-12-24,2026-01-05,298,358,5,0.387,0.266,0.151,72,60
21,415805.76282324025,9133536.276680754,3,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.416,0.19,0.226,108,72
21,415805.76282324025,9133536.276680754,4,2026-04-23,2026-05-05,2026-05-17,113,125,137,0.345,0.188,0.157,24,12
22,415784.5109959243,9133550.124215126,1,2025-12-12,2025-12-24,2026-01-05,346,358,5,0.328,0.194,0.133,24,12
22,415784.5109959243,9133550.124215126,2,2026-01-05,2026-05-05,2026-05-17,5,125,137,0.372,0.232,0.178,132,120
23,415793.22390361695,9133570.249001598,1,2025-11-30,2025-12-12,2026-01-05,334,346,5,0.29,0.203,0.086,36,12
23,415793.22390361695,9133570.249001598,2,2026-01-05,2026-05-05,2026-05-17,5,125,137,0.345,0.26,0.141,132,120
24,415740.1923666874,9133612.588492846,1,2025-09-07,2025-09-07,2025-09-19,250,250,262,0.39,0.301,0.089,12,0
24,415740.1923666874,9133612.588492846,2,2025-09-19,2025-10-01,2025-11-06,262,274,310,0.443,0.283,0.16,48,12
24,415740.1923666874,9133612.588492846,3,2025-11-06,2025-11-18,2025-11-30,310,322,334,0.397,0.268,0.129,24,12
24,415740.1923666874,9133612.588492846,4,2025-11-30,2025-12-24,2026-01-05,334,358,5,0.354,0.182,0.172,36,24
24,415740.1923666874,9133612.588492846,5,2026-01-05,2026-01-17,2026-01-29,5,17,29,0.368,0.277,0.186,24,12
24,415740.1923666874,9133612.588492846,6,2026-01-29,2026-04-11,2026-04-23,29,101,113,0.39,0.292,0.113,84,72
25,415782.3334241352,9133588.837394685,1,2025-11-06,2025-12-24,2026-01-05,310,358,5,0.328,0.231,0.097,60,48
25,415782.3334241352,9133588.837394685,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.505,0.294,0.274,108,72
26,415755.825133002,9133533.722648706,1,2025-11-06,2025-12-24,2026-01-05,310,358,5,0.297,0.163,0.134,60,48
26,415755.825133002,9133533.722648706,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.442,0.222,0.279,108,72
27,415762.2424355617,9133465.476034556,1,2025-10-01,2025-12-12,2026-01-05,274,346,5,0.357,0.242,0.115,96,72
27,415762.2424355617,9133465.476034556,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.358,0.248,0.116,108,72
28,415761.8232892852,9133523.249034608,1,2025-09-07,2025-12-12,2026-01-05,250,346,5,0.315,0.182,0.134,120,96
29,415739.6513732516,9133539.501241423,1,2025-09-07,2025-12-24,2026-01-05,250,358,5,0.261,0.177,0.083,120,108
29,415739.6513732516,9133539.501241423,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.417,0.221,0.239,108,72
30,415789.7569821614,9133519.81311671,1,2025-10-01,2025-12-24,2026-01-05,274,358,5,0.352,0.185,0.167,96,84
30,415789.7569821614,9133519.81311671,2,2026-01-05,2026-04-11,2026-04-23,5,101,113,0.265,0.154,0.11,108,96
