point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
172,463000.2255201336,9225143.241869077,114.0,306.0,192.0,0.3930202,162.0,0.056056812,0.27735043,2.911352,0.004434972,0.0023400236
173,480207.28746414674,9231870.684368413,102.0,294.0,192.0,0.39743593,174.0,0.09505178,0.29896176,2.7465546,0.004191557,0.0024628278
174,458912.8967071283,9249822.748268813,138.0,348.0,210.0,0.42189595,210.0,-0.07247083,0.48733467,5.8967376,0.0044786846,0.003582368
175,461916.2046416754,9252864.012248186,138.0,246.0,108.0,0.43691128,210.0,0.20447963,0.22685015,0.9036737,0.002940512,0.0056537203
176,470783.236410018,9238157.300665403,90.0,282.0,192.0,0.4076874,222.0,0.044373382,0.35912135,3.1686199,0.0024501726,0.005761471
177,475265.4273097887,9244080.318600828,114.0,294.0,180.0,0.45285678,198.0,0.23172206,0.18172166,1.251939,0.0016289694,0.0023034867
178,466713.647531466,9248558.721436359,66.0,348.0,282.0,0.12048877,138.0,0.071499705,0.04058855,0.56652,0.00044705605,0.00020487461
179,471526.9506110478,9247991.079598244,54.0,234.0,180.0,0.6164159,66.0,0.50973296,0.081248164,0.7744801,0.0046511143,0.0006350176
180,493964.25031187275,9237571.835175738,150.0,306.0,156.0,0.29781163,234.0,-0.04401415,0.33819208,2.6731174,0.003980488,0.004646644
181,469100.24864441546,9246363.028682083,78.0,198.0,120.0,0.38131514,162.0,0.17067538,0.19275817,1.0019546,0.0020818643,0.0052436497
182,461151.67035775323,9247005.443886919,126.0,282.0,156.0,0.34165725,162.0,0.10509362,0.23381937,1.6958493,0.005170187,0.001838334
183,475463.3712312296,9246914.244199265,66.0,258.0,192.0,0.26692647,78.0,0.10018812,0.12912211,0.61385787,0.0051269643,0.00092632417
184,458932.190049687,9222958.037685074,18.0,210.0,192.0,0.5982497,54.0,0.4142458,0.13837174,0.9037375,0.0025760995,0.0011795119
185,456389.03675699054,9250134.491936931,90.0,348.0,258.0,0.039193977,246.0,-0.12252605,0.16147144,0.94648874,0.0010334799,0.0015854904
