point,n_seasons,x,y,mean_peak_NDVI,mean_LOS_days,mean_amplitude
82,1,480235.35085148807,9235553.620248454,0.325,132.0,0.228
83,2,495151.2782624962,9241932.906523842,0.14300000000000002,36.0,0.17149999999999999
84,2,465850.4434318612,9251079.291173574,0.269,84.0,0.16899999999999998
87,3,498977.5979523279,9239701.915561754,0.5726666666666667,76.0,0.4376666666666667
88,1,475152.3619695123,9237238.910179926,0.288,132.0,0.174
89,2,499429.2018981216,9241634.21092979,0.513,120.0,0.376
90,2,464056.8066605632,9240203.830173992,0.44999999999999996,108.0,0.2465
93,2,502090.1570604852,9248317.398202782,0.391,132.0,0.25
95,1,462936.8889807986,9246184.245341988,0.266,120.0,0.166
96,1,491308.63570739847,9235394.899991184,0.341,132.0,0.232
97,2,480460.1297978328,9231294.09787235,0.37,126.0,0.2585
98,1,462159.41918740293,9252939.543252593,0.361,108.0,0.165
101,1,480743.93083535053,9231092.020154422,0.392,132.0,0.345
102,3,454011.9617136835,9229898.79440556,0.2436666666666667,64.0,0.26066666666666666
103,2,489836.435356739,9237656.489480788,0.162,120.0,0.247
106,2,489276.95456476416,9239861.989477212,0.3775,156.0,0.3415
108,2,460491.2484066413,9216642.846213177,0.41250000000000003,90.0,0.38
109,4,472617.5377385447,9236561.486777415,0.3145,69.0,0.25175
110,3,464348.86124561273,9215998.724853972,0.30833333333333335,108.0,0.22666666666666668
111,1,452691.3585709309,9230744.32984632,0.261,120.0,0.419
113,4,461319.6904962273,9228002.76259859,0.44575,66.0,0.35775
114,2,460283.3678216073,9234960.046273666,0.399,126.0,0.1865
116,1,460966.71867332904,9254364.666241871,0.335,144.0,0.209
117,1,472579.22967249295,9240422.54316405,0.323,144.0,0.218
118,1,492577.25648008665,9240303.597580532,0.013,24.0,0.163
119,1,458767.8279533926,9232049.452098165,0.268,96.0,0.167
120,1,464642.7029310688,9217198.903811475,0.368,168.0,0.153
123,3,463315.4930966474,9243083.767622184,0.342,84.0,0.22633333333333336
124,2,481646.3518981826,9238217.24400751,0.39349999999999996,90.0,0.3
126,1,488317.04798508045,9238809.508511923,0.273,156.0,0.162
127,2,476394.45725982,9231781.340066852,0.41200000000000003,114.0,0.2215
128,1,469130.7438406742,9243921.992537765,0.177,120.0,0.203
129,1,456568.5807919772,9222567.348326117,0.393,120.0,0.267
130,2,458523.7207360077,9234515.193782674,0.4445,114.0,0.2115
131,2,491634.45726396167,9238941.959373904,0.321,66.0,0.326
132,1,481528.65685500344,9239430.713180562,0.239,180.0,0.167
134,1,469078.52323315386,9219541.988179743,0.325,120.0,0.198
135,2,455665.40747756383,9244009.547145024,0.1875,156.0,0.2905
136,1,460347.9805991686,9218119.16099384,0.378,216.0,0.235
137,3,462350.16167290095,9222679.908964615,0.4483333333333333,88.0,0.35833333333333334
139,1,460860.72994813573,9226777.44731183,0.338,132.0,0.286
140,2,481993.580295346,9237723.14611185,0.30700000000000005,90.0,0.262
142,3,469701.97393890034,9247345.2359401,0.4506666666666667,84.0,0.45933333333333337
143,3,461562.8104482815,9251167.694043146,0.35200000000000004,68.0,0.26
145,2,460417.57402200194,9220874.681483109,0.418,84.0,0.21150000000000002
147,1,474676.1857214124,9237165.285809558,0.491,108.0,0.278
