point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
80,468989.526088977,9217284.708426733,1,2024-11-07,2024-11-19,2024-12-01,312,324,336,0.23,0.079,0.151,24,12
80,468989.526088977,9217284.708426733,2,2024-12-01,2025-03-31,2025-05-06,336,90,126,0.213,0.055,0.158,156,120
82,480235.35085148807,9235553.620248454,1,2024-12-01,2025-03-07,2025-04-12,336,66,102,0.325,0.097,0.228,132,96
83,495151.2782624962,9241932.906523842,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.228,0.048,0.18,12,0
83,495151.2782624962,9241932.906523842,2,2025-01-30,2025-02-23,2025-03-31,30,54,90,0.058,-0.106,0.163,60,24
84,465850.4434318612,9251079.291173574,1,2024-11-07,2024-12-01,2024-12-25,312,336,360,0.288,0.122,0.166,48,24
84,465850.4434318612,9251079.291173574,2,2024-12-25,2025-04-12,2025-04-24,360,102,114,0.25,0.078,0.172,120,108
87,498977.5979523279,9239701.915561754,1,2024-11-07,2024-11-19,2024-12-01,312,324,336,0.317,0.148,0.169,24,12
87,498977.5979523279,9239701.915561754,2,2024-12-01,2025-01-18,2025-03-07,336,18,66,0.661,0.129,0.532,96,48
87,498977.5979523279,9239701.915561754,3,2025-03-07,2025-05-06,2025-06-23,66,126,174,0.74,0.253,0.612,108,60
88,475152.3619695123,9237238.910179926,1,2024-11-19,2025-03-19,2025-03-31,324,78,90,0.288,0.113,0.174,132,120
89,499429.2018981216,9241634.21092979,1,2024-11-07,2025-02-23,2025-03-31,312,54,90,0.504,0.15,0.38,144,108
89,499429.2018981216,9241634.21092979,2,2025-03-31,2025-06-11,2025-07-05,90,162,186,0.522,0.172,0.372,96,72
90,464056.8066605632,9240203.830173992,1,2024-12-01,2025-02-23,2025-03-31,336,54,90,0.42,0.204,0.216,120,84
90,464056.8066605632,9240203.830173992,2,2025-03-31,2025-05-18,2025-07-05,90,138,186,0.48,0.269,0.277,96,48
93,502090.1570604852,9248317.398202782,1,2024-11-07,2025-01-18,2025-03-31,312,18,90,0.384,0.182,0.202,144,72
93,502090.1570604852,9248317.398202782,2,2025-03-31,2025-06-23,2025-07-29,90,174,210,0.398,0.1,0.298,120,84
95,462936.8889807986,9246184.245341988,1,2024-12-13,2025-03-19,2025-04-12,348,78,102,0.266,0.101,0.166,120,96
96,491308.63570739847,9235394.899991184,1,2024-12-13,2025-03-19,2025-04-24,348,78,114,0.341,0.12,0.232,132,96
97,480460.1297978328,9231294.09787235,1,2024-11-19,2025-01-06,2025-01-30,324,6,30,0.366,0.12,0.264,72,48
97,480460.1297978328,9231294.09787235,2,2025-01-30,2025-07-05,2025-07-29,30,186,210,0.374,0.145,0.253,180,156
98,462159.41918740293,9252939.543252593,1,2025-01-06,2025-03-19,2025-04-24,6,78,114,0.361,0.196,0.165,108,72
101,480743.93083535053,9231092.020154422,1,2024-11-19,2025-03-07,2025-03-31,324,66,90,0.392,0.047,0.345,132,108
102,454011.9617136835,9229898.79440556,1,2024-11-07,2024-11-07,2024-12-13,312,312,348,0.19,0.005,0.185,36,0
102,454011.9617136835,9229898.79440556,2,2024-12-13,2025-01-18,2025-01-30,348,18,30,0.265,0.086,0.26,48,36
102,454011.9617136835,9229898.79440556,3,2025-01-30,2025-03-31,2025-05-18,30,90,138,0.276,-0.061,0.337,108,60
103,489836.435356739,9237656.489480788,1,2024-11-07,2024-11-07,2024-12-01,312,312,336,0.211,-0.078,0.289,24,0
103,489836.435356739,9237656.489480788,2,2024-12-01,2025-02-11,2025-07-05,336,42,186,0.113,-0.091,0.205,216,72
106,489276.95456476416,9239861.989477212,1,2024-12-01,2025-03-19,2025-05-30,336,78,150,0.317,0.036,0.281,180,108
106,489276.95456476416,9239861.989477212,2,2025-05-30,2025-08-10,2025-10-09,150,222,282,0.438,0.038,0.402,132,72
108,460491.2484066413,9216642.846213177,1,2024-12-13,2025-02-11,2025-05-06,348,42,126,0.547,0.033,0.514,144,60
108,460491.2484066413,9216642.846213177,2,2025-05-06,2025-05-30,2025-06-11,126,150,162,0.278,0.089,0.246,36,24
109,472617.5377385447,9236561.486777415,1,2024-11-07,2024-11-07,2024-12-01,312,312,336,0.303,0.052,0.251,24,0
109,472617.5377385447,9236561.486777415,2,2024-12-01,2025-02-23,2025-03-07,336,54,66,0.335,0.13,0.284,96,84
109,472617.5377385447,9236561.486777415,3,2025-03-07,2025-05-18,2025-07-17,66,138,198,0.395,0.234,0.265,132,72
109,472617.5377385447,9236561.486777415,4,2025-09-27,2025-09-27,2025-10-21,270,270,294,0.225,0.018,0.207,24,0
110,464348.86124561273,9215998.724853972,1,2024-11-19,2024-12-01,2024-12-13,324,336,348,0.324,0.131,0.193,24,12
110,464348.86124561273,9215998.724853972,2,2024-12-13,2025-06-11,2025-07-05,348,162,186,0.213,0.057,0.156,204,180
110,464348.86124561273,9215998.724853972,3,2025-07-05,2025-09-03,2025-10-09,186,246,282,0.388,0.209,0.331,96,60
111,452691.3585709309,9230744.32984632,1,2024-11-19,2025-02-23,2025-03-19,324,54,78,0.261,-0.158,0.419,120,96
113,461319.6904962273,9228002.76259859,1,2024-11-19,2025-01-06,2025-01-30,324,6,30,0.484,0.279,0.345,72,48
113,461319.6904962273,9228002.76259859,2,2025-01-30,2025-02-11,2025-03-31,30,42,90,0.456,0.076,0.38,60,12
113,461319.6904962273,9228002.76259859,3,2025-03-31,2025-06-11,2025-06-23,90,162,174,0.486,0.289,0.41,84,72
113,461319.6904962273,9228002.76259859,4,2025-09-03,2025-09-15,2025-10-21,246,258,294,0.357,0.062,0.296,48,12
114,460283.3678216073,9234960.046273666,1,2024-11-19,2025-02-23,2025-03-31,324,54,90,0.402,0.212,0.19,132,96
114,460283.3678216073,9234960.046273666,2,2025-03-31,2025-06-11,2025-07-29,90,162,210,0.396,0.231,0.183,120,72
116,460966.71867332904,9254364.666241871,1,2024-12-25,2025-04-12,2025-05-18,360,102,138,0.335,0.125,0.209,144,108
117,472579.22967249295,9240422.54316405,1,2024-11-19,2025-02-23,2025-04-12,324,54,102,0.323,0.105,0.218,144,96
118,492577.25648008665,9240303.597580532,1,2025-01-30,2025-02-11,2025-02-23,30,42,54,0.013,-0.15,0.163,24,12
119,458767.8279533926,9232049.452098165,1,2024-12-13,2025-03-07,2025-03-19,348,66,78,0.268,0.101,0.167,96,84
120,464642.7029310688,9217198.903811475,1,2024-12-25,2025-03-07,2025-06-11,360,66,162,0.368,0.215,0.153,168,72
123,463315.4930966474,9243083.767622184,1,2024-11-07,2024-12-13,2024-12-25,312,348,360,0.28,0.11,0.17,48,36
123,463315.4930966474,9243083.767622184,2,2024-12-25,2025-03-07,2025-04-12,360,66,102,0.307,0.128,0.197,108,72
123,463315.4930966474,9243083.767622184,3,2025-04-12,2025-07-05,2025-07-17,102,186,198,0.439,0.272,0.312,96,84
124,481646.3518981826,9238217.24400751,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.29,0.111,0.179,12,0
124,481646.3518981826,9238217.24400751,2,2024-11-19,2025-03-07,2025-05-06,324,66,126,0.497,0.076,0.421,168,108
126,488317.04798508045,9238809.508511923,1,2024-12-13,2025-03-19,2025-05-18,348,78,138,0.273,0.111,0.162,156,96
127,476394.45725982,9231781.340066852,1,2024-11-19,2025-02-23,2025-03-07,324,54,66,0.401,0.19,0.21,108,96
127,476394.45725982,9231781.340066852,2,2025-03-07,2025-06-11,2025-07-05,66,162,186,0.423,0.235,0.233,120,96
128,469130.7438406742,9243921.992537765,1,2024-12-13,2025-03-07,2025-04-12,348,66,102,0.177,-0.026,0.203,120,84
129,456568.5807919772,9222567.348326117,1,2024-12-13,2025-03-07,2025-04-12,348,66,102,0.393,0.171,0.267,120,84
130,458523.7207360077,9234515.193782674,1,2024-11-19,2025-01-30,2025-03-07,324,30,66,0.434,0.256,0.183,108,72
130,458523.7207360077,9234515.193782674,2,2025-03-07,2025-05-18,2025-07-05,66,138,186,0.455,0.215,0.24,120,72
131,491634.45726396167,9238941.959373904,1,2024-11-19,2025-01-06,2025-01-30,324,6,30,0.308,0.11,0.251,72,48
