point,x,y,date,S2ndvi_fused,VV_fused,VH_fused
14,415871.5772795819,9133471.688821081,2026-01-17,0.33789087122031225,-9.412924200433848,-14.710812644925413
14,415871.5772795819,9133471.688821081,2026-01-29,0.31819938863663716,-9.670594688932905,-14.753095073507072
14,415871.5772795819,9133471.688821081,2026-02-10,0.31001603927255295,-9.764491323512337,-14.71234872528904
14,415871.5772795819,9133471.688821081,2026-02-22,0.2798954163097141,-10.111622339718043,-14.569112067548748
14,415871.5772795819,9133471.688821081,2026-03-06,0.3220669208109483,-9.567086743206147,-14.510821892503012
14,415871.5772795819,9133471.688821081,2026-03-18,0.342828710530641,-9.597466339777114,-14.174822475608307
14,415871.5772795819,9133471.688821081,2026-03-30,0.35024547495710917,-8.303899079818096,-13.18823232996617
14,415871.5772795819,9133471.688821081,2026-04-11,0.20606132060870103,-11.112774131661215,-15.803050073091214
14,415871.5772795819,9133471.688821081,2026-04-23,0.2484706447718774,-10.47039288855732,-15.641129685926131
14,415871.5772795819,9133471.688821081,2026-05-05,0.3167063751148681,-9.775501901367411,-15.360377417733247
14,415871.5772795819,9133471.688821081,2026-05-17,0.3770667169637879,-9.126457999379916,-14.870560662140674
14,415871.5772795819,9133471.688821081,2026-05-29,0.3702085640880551,-9.346120853510595,-14.49072001549664
14,415871.5772795819,9133471.688821081,2026-06-10,0.31269296153172293,-9.639084223189728,-14.30686881838773
15,415808.23859854246,9133382.448484626,2025-09-07,0.36646797825514293,-8.292781240786976,-13.56293284645936
15,415808.23859854246,9133382.448484626,2025-09-19,0.31197607469208577,-7.548237043601588,-13.090352751772812
15,415808.23859854246,9133382.448484626,2025-10-01,0.3078127581090715,-8.169669199598877,-14.175101061730654
15,415808.23859854246,9133382.448484626,2025-10-13,0.3728893089305873,-8.446696754297852,-13.010572590762315
15,415808.23859854246,9133382.448484626,2025-10-25,0.36429001508543307,-8.28594371589651,-12.515119711973078
15,415808.23859854246,9133382.448484626,2025-11-06,0.35596736762696674,-8.243231750170715,-12.762464383157585
15,415808.23859854246,9133382.448484626,2025-11-18,0.36535109359455054,-7.856387673637869,-12.129772594069568
15,415808.23859854246,9133382.448484626,2025-11-30,0.3751977804021525,-7.359946066359079,-12.551659825157984
15,415808.23859854246,9133382.448484626,2025-12-12,0.34173143340494005,-7.901991254971488,-12.900456306938533
15,415808.23859854246,9133382.448484626,2025-12-24,0.32329069398218774,-9.11693071700205,-14.84066282958078
15,415808.23859854246,9133382.448484626,2026-01-05,0.28765344130112097,-9.143749939624776,-15.524977190615527
15,415808.23859854246,9133382.448484626,2026-01-17,0.34746938520681614,-8.993322445940159,-13.858772018961302
15,415808.23859854246,9133382.448484626,2026-01-29,0.3333310009351232,-10.074689437125212,-15.505647462088055
15,415808.23859854246,9133382.448484626,2026-02-10,0.38097085244962575,-9.796525870730804,-13.534206572020713
15,415808.23859854246,9133382.448484626,2026-02-22,0.34414199056835526,-8.974219859973255,-13.955506321492525
15,415808.23859854246,9133382.448484626,2026-03-06,0.3351362491170929,-9.478389231609599,-14.808245735210468
15,415808.23859854246,9133382.448484626,2026-03-18,0.39160120147659383,-10.245217532244668,-14.613658556610682
15,415808.23859854246,9133382.448484626,2026-03-30,0.29105810442976127,-7.127577583750902,-13.318048065726266
15,415808.23859854246,9133382.448484626,2026-04-11,0.31469882508480473,-7.070897711101946,-12.322919907245346
15,415808.23859854246,9133382.448484626,2026-04-23,0.2968387437057227,-8.344263433797995,-13.741775907125708
15,415808.23859854246,9133382.448484626,2026-05-05,0.32713860460023964,-8.325337951375205,-13.563114342612401
15,415808.23859854246,9133382.448484626,2026-05-17,0.3187158151143008,-6.9153690875259475,-13.35097368759506
