lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
16_Sukamandi1,clu4,32748,107.632059,-6.36506,2024-03-20,6,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.336145,-6.148648,2024-03-16,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632056,-6.364608,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632054,-6.364156,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632052,-6.363704,2024-03-20,6,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.075738,-6.482299,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.606754,-6.362477,2024-03-20,2,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.075735,-6.481848,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.606751,-6.362025,2024-03-20,2,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.075732,-6.481396,2024-03-19,4,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.606749,-6.361573,2024-03-20,2,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.606747,-6.361122,2024-03-20,2,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.606744,-6.36067,2024-03-20,2,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.347891,-6.149952,2024-03-16,2,"Drone (combined survey, Java-clean)"
18_Kiarasari,clu1,32748,107.885353,-6.436889,2024-03-20,4,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.463547,-6.261051,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.347889,-6.1495,2024-03-16,2,"Drone (combined survey, Java-clean)"
18_Kiarasari,clu1,32748,107.88535,-6.436437,2024-03-20,4,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.463545,-6.260599,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.347887,-6.149048,2024-03-16,2,"Drone (combined survey, Java-clean)"
18_Kiarasari,clu1,32748,107.885348,-6.435986,2024-03-20,4,"Drone (combined survey, Java-clean)"
5_Rengasdengklok04,clu4,32748,107.34365,-6.212339,2024-03-16,4,"Drone (combined survey, Java-clean)"
18_Kiarasari,clu1,32748,107.885345,-6.435534,2024-03-20,4,"Drone (combined survey, Java-clean)"
5_Rengasdengklok04,clu4,32748,107.343648,-6.211887,2024-03-16,4,"Drone (combined survey, Java-clean)"
18_Kiarasari,clu1,32748,107.885343,-6.435082,2024-03-20,4,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.401106,-6.333648,2024-03-18,3,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.401104,-6.333196,2024-03-18,4,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.302319,-6.329146,2024-03-19,5,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.401102,-6.332744,2024-03-18,4,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.302316,-6.328694,2024-03-19,5,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.302313,-6.328243,2024-03-19,5,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.30231,-6.327791,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.463551,-6.261955,2024-03-18,1,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.302308,-6.32734,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.463549,-6.261503,2024-03-18,1,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.302305,-6.326888,2024-03-19,5,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.338404,-6.14909,2024-03-16,2,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339321,-6.152249,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.338402,-6.148638,2024-03-16,2,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339319,-6.151797,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.3384,-6.148186,2024-03-16,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.339307,-6.149086,2024-03-16,2,"Drone (combined survey, Java-clean)"
