lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
Selomerto 2,Pekalongan,32749,109.880643,-7.410401,6/27/2024,3,Drone (rice field)
Selomerto 2,Pekalongan,32749,109.880593,-7.410425,6/27/2024,3,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.42852,-6.89482,6/27/2024,6,Drone (rice field)
01_Jepara01_Rau,Semarang_Demak,32749,110.663714,-6.653339,6/24/2024,2,Drone (50x50)
01_Jepara01_Rau,Semarang_Demak,32749,110.663699,-6.653297,6/24/2024,2,Drone (rice field)
Kedungsari,Pekalongan,32749,110.195527,-7.869836,6/25/2024,5,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053896,-6.995292,6/28/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053924,-6.995301,6/28/2024,4,Drone (rice field)
Bendungan,Pekalongan,32749,109.950033,-7.781031,6/24/2024,2,Field Survey
Bendungan,Pekalongan,32749,109.949583,-7.782273,6/24/2024,2,Drone (50x50)
Bendungan,Pekalongan,32749,109.950042,-7.781044,6/24/2024,2,Drone (50x50)
Sleman 1,Pekalongan,32749,110.24642,-7.793563,6/25/2024,6,Drone (rice field)
07_batang02_sambong02,Pekalongan,32749,109.74428,-6.90948,6/26/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.05369,-6.993465,6/28/2024,4,Drone (rice field)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.765698,-6.764063,6/24/2024,5,Field Survey
02_Jepara02_Surodadi,Semarang_Demak,32749,110.653744,-6.678974,6/24/2024,3,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.407241,-6.897579,6/27/2024,4,Drone (rice field)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.765246,-6.763158,6/24/2024,5,Field Survey
01_Jepara01_Rau,Semarang_Demak,32749,110.664849,-6.653367,6/24/2024,2,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.429619,-6.895931,6/27/2024,3,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.880713,-7.409103,6/27/2024,5,Drone (rice field)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.76569,-6.76338,6/24/2024,5,Drone (50x50)
14_pemalang04_taman,Brebes_Tegal,32749,109.406155,-6.895475,6/27/2024,3,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.406023,-6.897359,6/27/2024,3,Drone (rice field)
04_Jepara04_Krasak,Semarang_Demak,32749,110.707411,-6.715619,6/24/2024,2,Drone (50x50)
Janggawur,Pekalongan,32749,109.674191,-7.388098,6/27/2024,6,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.880856,-7.40888,6/27/2024,5,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052543,-6.994382,6/28/2024,4,Drone (rice field)
Bangunjiwo,Semarang_Demak,32749,110.315139,-7.846198,6/24/2024,1,Drone (50x50)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.765781,-6.763999,6/24/2024,5,Drone (50x50)
04_Jepara04_Krasak,Semarang_Demak,32749,110.706908,-6.715183,6/24/2024,2,Drone (50x50)
Kedungsari,Pekalongan,32749,110.195965,-7.869943,6/25/2024,5,Drone (rice field)
Janggawur,Pekalongan,32749,109.674147,-7.387638,6/27/2024,6,Drone (rice field)
