bujur,lintang,tanggal,fase,sumber
109.375607,-7.504349,6/11/2024,1,Drone (rice field)
109.352103,-7.435408,6/11/2024,1,Drone (rice field)
109.294805,-7.42572,6/11/2024,2,Drone (rice field)
109.295332,-7.427104,6/11/2024,2,Drone (rice field)
109.413863,-7.426752,6/11/2024,2,Drone (rice field)
109.375517,-7.503764,6/11/2024,1,Drone (rice field)
109.351756,-7.434954,6/11/2024,1,Drone (rice field)
109.295621,-7.426818,6/11/2024,2,Drone (rice field)
109.375327,-7.505047,6/11/2024,1,Drone (rice field)
109.353432,-7.435536,6/11/2024,1,Drone (rice field)
109.37416,-7.504452,6/11/2024,1,Drone (rice field)
109.37488,-7.503589,6/11/2024,1,Drone (rice field)
109.413736,-7.426877,6/11/2024,2,Drone (rice field)
109.352741,-7.435885,6/11/2024,1,Drone (rice field)
109.352418,-7.434509,6/11/2024,1,Drone (rice field)
109.35229,-7.435431,6/11/2024,1,Drone (rice field)
109.352322,-7.435406,6/11/2024,1,Drone (rice field)
109.352421,-7.434697,6/11/2024,1,Drone (rice field)
109.29502,-7.426234,6/11/2024,2,Drone (rice field)
109.448642,-7.594835,6/12/2024,2,Drone (rice field)
109.448581,-7.594828,6/12/2024,2,Drone (rice field)
109.375051,-7.504403,6/11/2024,1,Drone (rice field)
109.352354,-7.435489,6/11/2024,1,Drone (rice field)
109.352819,-7.436008,6/11/2024,1,Drone (rice field)
109.448311,-7.59481,6/12/2024,2,Drone (rice field)
109.44838,-7.594852,6/12/2024,2,Drone (rice field)
109.449667,-7.594594,6/12/2024,2,Drone (rice field)
109.413672,-7.426861,6/11/2024,6,Drone (rice field)
109.41364,-7.426847,6/11/2024,2,Drone (rice field)
109.41347,-7.426612,6/11/2024,2,Drone (rice field)
109.352612,-7.435034,6/11/2024,1,Drone (rice field)
109.41352,-7.426558,6/11/2024,2,Drone (rice field)
109.352359,-7.435043,6/11/2024,1,Drone (rice field)
109.351934,-7.435337,6/11/2024,1,Drone (rice field)
109.295144,-7.426088,6/11/2024,2,Drone (rice field)
109.295072,-7.426086,6/11/2024,2,Drone (rice field)
109.353106,-7.434576,6/11/2024,1,Drone (rice field)
109.412827,-7.426771,6/11/2024,2,Drone (rice field)
109.295091,-7.426243,6/11/2024,2,Drone (rice field)
109.449605,-7.595025,6/12/2024,2,Drone (rice field)
109.353198,-7.434983,6/11/2024,1,Drone (rice field)
109.352365,-7.435135,6/11/2024,1,Drone (rice field)
109.374628,-7.504333,6/11/2024,1,Drone (rice field)
109.353379,-7.435934,6/11/2024,1,Drone (rice field)
109.448373,-7.594616,6/12/2024,2,Drone (rice field)
109.449963,-7.595739,6/12/2024,6,Drone (rice field)
109.449861,-7.595118,6/12/2024,6,Drone (rice field)
109.448595,-7.594603,6/12/2024,2,Drone (rice field)
109.295813,-7.425956,6/11/2024,2,Drone (rice field)
109.353134,-7.434684,6/11/2024,1,Drone (rice field)
109.35195,-7.435406,6/11/2024,1,Drone (rice field)
109.413303,-7.426253,6/11/2024,2,Drone (rice field)
109.413863,-7.426867,6/11/2024,2,Drone (rice field)
109.413886,-7.426822,6/11/2024,2,Drone (rice field)
109.295145,-7.426728,6/11/2024,2,Drone (rice field)
109.449596,-7.595124,6/12/2024,2,Drone (rice field)
109.375583,-7.504477,6/11/2024,1,Drone (rice field)
109.449965,-7.595477,6/12/2024,6,Drone (rice field)
109.448491,-7.594841,6/12/2024,2,Drone (rice field)
109.448528,-7.594813,6/12/2024,2,Drone (rice field)
109.352871,-7.435398,6/11/2024,1,Drone (rice field)
109.375532,-7.504739,6/11/2024,1,Drone (rice field)
109.374866,-7.504118,6/11/2024,1,Drone (rice field)
109.448456,-7.595463,6/12/2024,2,Drone (rice field)
109.413449,-7.426657,6/11/2024,2,Drone (rice field)
109.352867,-7.435314,6/11/2024,1,Drone (rice field)
109.353155,-7.435751,6/11/2024,1,Drone (rice field)
109.448519,-7.595919,6/12/2024,2,Drone (rice field)
109.375269,-7.50371,6/11/2024,1,Drone (rice field)
109.352861,-7.436226,6/11/2024,1,Drone (rice field)
109.352863,-7.436176,6/11/2024,1,Drone (rice field)
109.295579,-7.425688,6/11/2024,2,Drone (rice field)
109.3743,-7.504369,6/11/2024,1,Drone (rice field)
109.413036,-7.426799,6/11/2024,2,Drone (rice field)
109.29519,-7.425954,6/11/2024,2,Drone (rice field)
109.351925,-7.435149,6/11/2024,1,Drone (rice field)
109.352131,-7.434948,6/11/2024,1,Drone (rice field)
109.351949,-7.434835,6/11/2024,1,Drone (rice field)
109.295711,-7.425724,6/11/2024,2,Drone (rice field)
109.295758,-7.425702,6/11/2024,2,Drone (rice field)
109.449562,-7.595468,6/12/2024,2,Drone (rice field)
109.413869,-7.426331,6/11/2024,2,Drone (rice field)
109.41383,-7.426324,6/11/2024,2,Drone (rice field)
109.374909,-7.503963,6/11/2024,1,Drone (rice field)
109.375261,-7.504112,6/11/2024,1,Drone (rice field)
109.411577,-7.426517,6/11/2024,4,Drone (rice field)
109.448526,-7.595733,6/12/2024,2,Drone (rice field)
109.353069,-7.434471,6/11/2024,1,Drone (rice field)
109.351916,-7.43525,6/11/2024,1,Drone (rice field)
109.352367,-7.435328,6/11/2024,1,Drone (rice field)
109.352789,-7.436253,6/11/2024,1,Drone (rice field)
109.352786,-7.436185,6/11/2024,1,Drone (rice field)
109.448649,-7.595892,6/12/2024,2,Drone (rice field)
109.375897,-7.50401,6/11/2024,1,Drone (rice field)
109.413419,-7.426417,6/11/2024,2,Drone (rice field)
109.413377,-7.426413,6/11/2024,2,Drone (rice field)
109.352746,-7.434529,6/11/2024,1,Drone (rice field)
109.294631,-7.427098,6/11/2024,2,Drone (rice field)
109.351839,-7.434978,6/11/2024,1,Drone (rice field)
109.351919,-7.434954,6/11/2024,1,Drone (rice field)
109.295491,-7.425905,6/11/2024,2,Drone (rice field)
109.294958,-7.426824,6/11/2024,2,Drone (rice field)
109.353747,-7.435781,6/11/2024,1,Drone (rice field)
109.375386,-7.503645,6/11/2024,1,Drone (rice field)
109.449982,-7.595651,6/12/2024,6,Drone (rice field)
109.375144,-7.50393,6/11/2024,1,Drone (rice field)
109.413511,-7.42689,6/11/2024,2,Drone (rice field)
109.295015,-7.42665,6/11/2024,2,Drone (rice field)
109.351921,-7.435056,6/11/2024,1,Drone (rice field)
109.352625,-7.434582,6/11/2024,1,Drone (rice field)
109.412156,-7.426324,6/11/2024,4,Drone (rice field)
109.41306,-7.4269,6/11/2024,2,Drone (rice field)
109.449996,-7.595039,6/12/2024,6,Drone (rice field)
109.374731,-7.503675,6/11/2024,1,Drone (rice field)
109.448866,-7.595313,6/12/2024,2,Drone (rice field)
109.413623,-7.426783,6/11/2024,2,Drone (rice field)
109.413571,-7.426797,6/11/2024,2,Drone (rice field)
109.375477,-7.503931,6/11/2024,1,Drone (rice field)
109.44874,-7.595672,6/12/2024,2,Drone (rice field)
109.412164,-7.426021,6/11/2024,4,Drone (rice field)
109.375714,-7.503922,6/11/2024,1,Drone (rice field)
109.448868,-7.594894,6/12/2024,2,Drone (rice field)
109.352357,-7.435581,6/11/2024,1,Drone (rice field)
109.412391,-7.426045,6/11/2024,4,Drone (rice field)
109.449591,-7.595739,6/12/2024,2,Drone (rice field)
109.413437,-7.42677,6/11/2024,2,Drone (rice field)
109.448652,-7.595832,6/12/2024,2,Drone (rice field)
109.448916,-7.594727,6/12/2024,2,Drone (rice field)
109.448876,-7.594779,6/12/2024,2,Drone (rice field)
109.294828,-7.427104,6/11/2024,2,Drone (rice field)
109.295617,-7.425969,6/11/2024,2,Drone (rice field)
109.413018,-7.426158,6/11/2024,2,Drone (rice field)
109.413029,-7.426187,6/11/2024,2,Drone (rice field)
109.375628,-7.504283,6/11/2024,1,Drone (rice field)
109.375881,-7.504103,6/11/2024,1,Drone (rice field)
109.37499,-7.503606,6/11/2024,1,Drone (rice field)
109.352635,-7.43612,6/11/2024,1,Drone (rice field)
109.352596,-7.435693,6/11/2024,1,Drone (rice field)
109.413677,-7.426547,6/11/2024,2,Drone (rice field)
109.413648,-7.426544,6/11/2024,2,Drone (rice field)
109.352605,-7.434933,6/11/2024,1,Drone (rice field)
109.41389,-7.426224,6/11/2024,2,Drone (rice field)
109.41385,-7.426216,6/11/2024,2,Drone (rice field)
109.449967,-7.594715,6/12/2024,2,Drone (rice field)
109.352352,-7.435696,6/11/2024,1,Drone (rice field)
109.412111,-7.426607,6/11/2024,4,Drone (rice field)
109.412179,-7.426613,6/11/2024,4,Drone (rice field)
109.295325,-7.425859,6/11/2024,2,Drone (rice field)
109.448661,-7.595264,6/12/2024,2,Drone (rice field)
109.352659,-7.436218,6/11/2024,1,Drone (rice field)
109.375589,-7.504238,6/11/2024,1,Drone (rice field)
109.375626,-7.504216,6/11/2024,1,Drone (rice field)
109.413181,-7.426596,6/11/2024,2,Drone (rice field)
109.37576,-7.504067,6/11/2024,1,Drone (rice field)
109.375092,-7.50397,6/11/2024,1,Drone (rice field)
109.37503,-7.503962,6/11/2024,1,Drone (rice field)
109.352979,-7.436022,6/11/2024,1,Drone (rice field)
109.448526,-7.595471,6/12/2024,2,Drone (rice field)
109.352135,-7.43505,6/11/2024,1,Drone (rice field)
109.294753,-7.42666,6/11/2024,2,Drone (rice field)
109.295528,-7.425771,6/11/2024,2,Drone (rice field)
109.413574,-7.426992,6/11/2024,2,Drone (rice field)
109.413616,-7.426937,6/11/2024,2,Drone (rice field)
