no,survei,bujur,lintang,tanggal,fase
107468,3,109.053134,-6.982323,2024-04-06,2
107471,3,109.053264,-6.982135,2024-04-06,2
107479,3,109.053483,-6.981732,2024-04-06,2
107496,3,109.053791,-6.981432,2024-04-06,2
107497,3,109.053634,-6.981423,2024-04-06,2
107498,3,109.053474,-6.981412,2024-04-06,2
107499,3,109.053284,-6.981398,2024-04-06,2
107500,3,109.052946,-6.981373,2024-04-06,2
107501,3,109.052628,-6.981349,2024-04-06,2
107502,3,109.053799,-6.981265,2024-04-06,2
107503,3,109.053655,-6.981258,2024-04-06,2
107504,3,109.05348,-6.981246,2024-04-06,2
107505,3,109.053275,-6.981232,2024-04-06,2
107508,3,109.052946,-6.981087,2024-04-06,2
107509,3,109.052637,-6.981069,2024-04-06,2
107510,3,109.053792,-6.981095,2024-04-06,2
107511,3,109.053623,-6.981083,2024-04-06,2
107512,3,109.053351,-6.981065,2024-04-06,2
107513,3,109.052945,-6.980989,2024-04-06,2
107514,3,109.05264,-6.980968,2024-04-06,2
107515,3,109.053822,-6.980921,2024-04-06,2
107516,3,109.053701,-6.980913,2024-04-06,2
107517,3,109.053546,-6.980901,2024-04-06,2
107518,3,109.053379,-6.980889,2024-04-06,2
107519,3,109.053158,-6.980872,2024-04-06,2
107520,3,109.052872,-6.980852,2024-04-06,2
107521,3,109.052646,-6.980835,2024-04-06,2
107522,3,109.053782,-6.980793,2024-04-06,2
107523,3,109.053548,-6.980777,2024-04-06,2
107524,3,109.053279,-6.980757,2024-04-06,2
107525,3,109.05294,-6.980732,2024-04-06,2
107526,3,109.052651,-6.980709,2024-04-06,2
107527,3,109.053774,-6.980687,2024-04-06,2
107528,3,109.053558,-6.980677,2024-04-06,2
107529,3,109.053379,-6.980669,2024-04-06,2
107530,3,109.053137,-6.980657,2024-04-06,2
107531,3,109.052858,-6.980642,2024-04-06,2
107532,3,109.052658,-6.980632,2024-04-06,2
107650,3,108.891413,-6.923092,2024-04-06,2
107651,3,108.891187,-6.923076,2024-04-06,2
107652,3,108.891012,-6.923064,2024-04-06,2
107653,3,108.890897,-6.923056,2024-04-06,2
107654,3,108.890755,-6.923045,2024-04-06,2
107655,3,108.891802,-6.923023,2024-04-06,2
107656,3,108.891399,-6.92299,2024-04-06,2
107657,3,108.890992,-6.922941,2024-04-06,2
107658,3,108.890761,-6.922913,2024-04-06,2
107659,3,108.891863,-6.922864,2024-04-06,2
107660,3,108.891608,-6.922839,2024-04-06,2
107661,3,108.891284,-6.922807,2024-04-06,2
107662,3,108.890904,-6.922774,2024-04-06,2
107663,3,108.890685,-6.922761,2024-04-06,2
107664,3,108.89187,-6.922678,2024-04-06,2
107665,3,108.891624,-6.922657,2024-04-06,2
107666,3,108.89129,-6.92263,2024-04-06,2
107667,3,108.890898,-6.922603,2024-04-06,2
107668,3,108.890681,-6.922616,2024-04-06,2
107669,3,108.890679,-6.922494,2024-04-06,2
107670,3,108.891761,-6.922488,2024-04-06,2
107671,3,108.891334,-6.92246,2024-04-06,2
107672,3,108.890981,-6.922437,2024-04-06,2
107673,3,108.890766,-6.922423,2024-04-06,2
107674,3,108.891762,-6.922323,2024-04-06,2
107675,3,108.891334,-6.922302,2024-04-06,2
107676,3,108.890977,-6.922281,2024-04-06,2
107677,3,108.890763,-6.92227,2024-04-06,2
107678,3,108.891763,-6.92215,2024-04-06,2
107679,3,108.891369,-6.922138,2024-04-06,2
107680,3,108.891047,-6.922128,2024-04-06,2
107681,3,108.890798,-6.922119,2024-04-06,2
107682,3,108.891855,-6.921975,2024-04-06,2
107683,3,108.891615,-6.921973,2024-04-06,2
107684,3,108.891326,-6.921969,2024-04-06,2
107685,3,108.891045,-6.921966,2024-04-06,2
107686,3,108.890799,-6.921963,2024-04-06,2
107687,3,108.891855,-6.92186,2024-04-06,2
107688,3,108.891217,-6.921858,2024-04-06,2
103795,3,109.152248,-7.614563,2024-04-06,3
103797,3,109.151797,-7.614109,2024-04-06,3
103800,3,109.151799,-7.613657,2024-04-06,3
103801,3,109.152252,-7.613658,2024-04-06,3
103802,3,109.152705,-7.61366,2024-04-06,3
106694,3,109.152256,-7.61496,2024-04-06,3
106702,3,109.152243,-7.614743,2024-04-06,3
106706,3,109.152448,-7.61453,2024-04-06,3
106710,3,109.152228,-7.614445,2024-04-06,3
106714,3,109.152431,-7.614268,2024-04-06,3
106717,3,109.151664,-7.614034,2024-04-06,3
106721,3,109.151596,-7.613831,2024-04-06,3
106722,3,109.151963,-7.613826,2024-04-06,3
106725,3,109.151627,-7.61364,2024-04-06,3
106726,3,109.151986,-7.613635,2024-04-06,3
106727,3,109.152349,-7.61363,2024-04-06,3
106728,3,109.152663,-7.613626,2024-04-06,3
99354,3,108.895298,-6.951217,2024-04-18,1
99355,3,108.894395,-6.950761,2024-04-18,1
99357,3,108.8953,-6.950765,2024-04-18,1
99361,3,108.895302,-6.950313,2024-04-18,1
99367,3,108.895756,-6.949863,2024-04-18,1
99369,3,108.894853,-6.949407,2024-04-18,1
103004,3,108.895409,-6.951236,2024-04-18,1
103005,3,108.89504,-6.951135,2024-04-18,1
103007,3,108.895166,-6.951123,2024-04-18,1
103008,3,108.89464,-6.951,2024-04-18,1
103009,3,108.895513,-6.950994,2024-04-18,1
103010,3,108.894749,-6.951003,2024-04-18,1
103011,3,108.894826,-6.950948,2024-04-18,1
103012,3,108.895312,-6.950901,2024-04-18,1
103014,3,108.894399,-6.950895,2024-04-18,1
103015,3,108.894474,-6.950865,2024-04-18,1
103016,3,108.895572,-6.950882,2024-04-18,1
103019,3,108.894541,-6.950804,2024-04-18,1
103021,3,108.894231,-6.950742,2024-04-18,1
103022,3,108.894064,-6.950748,2024-04-18,1
103023,3,108.894908,-6.950713,2024-04-18,1
103024,3,108.895293,-6.950756,2024-04-18,1
103026,3,108.89427,-6.950668,2024-04-18,1
103027,3,108.894024,-6.950634,2024-04-18,1
103031,3,108.894641,-6.950586,2024-04-18,1
103033,3,108.894958,-6.950604,2024-04-18,1
103034,3,108.894057,-6.950557,2024-04-18,1
103037,3,108.893835,-6.950532,2024-04-18,1
103040,3,108.893898,-6.950471,2024-04-18,1
103041,3,108.894999,-6.950477,2024-04-18,1
103044,3,108.894688,-6.950483,2024-04-18,1
103052,3,108.894733,-6.950361,2024-04-18,1
103057,3,108.895159,-6.950283,2024-04-18,1
103065,3,108.894826,-6.950147,2024-04-18,1
103074,3,108.895932,-6.949968,2024-04-18,1
103083,3,108.895647,-6.949851,2024-04-18,1
103093,3,108.895315,-6.949715,2024-04-18,1
103095,3,108.89561,-6.94976,2024-04-18,1
103100,3,108.895052,-6.949608,2024-04-18,1
103101,3,108.895093,-6.94954,2024-04-18,1
103104,3,108.894859,-6.949529,2024-04-18,1
103108,3,108.89488,-6.949449,2024-04-18,1
103109,3,108.894678,-6.949455,2024-04-18,1
103113,3,108.894682,-6.949365,2024-04-18,1
103114,3,108.894447,-6.949362,2024-04-18,1
103118,3,108.894491,-6.949284,2024-04-18,1
136614,4,109.406519,-6.896431,2024-03-13,1
136617,4,109.429472,-6.896186,2024-03-13,1
136623,4,109.052986,-6.995039,2024-03-13,1
136632,4,109.406953,-6.895875,2024-03-13,1
136634,4,109.052619,-6.994092,2024-03-13,1
136758,4,109.053444,-6.99529,2024-03-13,1
136759,4,109.053896,-6.995292,2024-03-13,1
136761,4,109.052543,-6.994382,2024-03-13,1
136765,4,109.052544,-6.99393,2024-03-13,1
136770,4,109.052546,-6.993478,2024-03-13,1
136886,4,109.406249,-6.897601,2024-03-13,1
136887,4,109.406702,-6.897602,2024-03-13,1
136888,4,109.407154,-6.897604,2024-03-13,1
136889,4,109.406251,-6.897149,2024-03-13,1
136890,4,109.406703,-6.89715,2024-03-13,1
136891,4,109.407155,-6.897152,2024-03-13,1
136892,4,109.406252,-6.896696,2024-03-13,1
136893,4,109.406705,-6.896698,2024-03-13,1
136894,4,109.407157,-6.8967,2024-03-13,1
136897,4,109.429604,-6.896741,2024-03-13,1
136898,4,109.430057,-6.896742,2024-03-13,1
136899,4,109.406254,-6.896244,2024-03-13,1
136900,4,109.406706,-6.896246,2024-03-13,1
136901,4,109.429606,-6.896289,2024-03-13,1
136902,4,109.430058,-6.89629,2024-03-13,1
136903,4,109.406255,-6.895792,2024-03-13,1
136904,4,109.406708,-6.895794,2024-03-13,1
136916,4,109.429612,-6.89448,2024-03-13,1
136917,4,109.430064,-6.894482,2024-03-13,1
137650,4,109.054257,-6.995363,2024-03-13,1
137652,4,109.054117,-6.995335,2024-03-13,1
137654,4,109.053924,-6.995301,2024-03-13,1
137655,4,109.053782,-6.995276,2024-03-13,1
137657,4,109.053615,-6.995246,2024-03-13,1
137660,4,109.053409,-6.99521,2024-03-13,1
137661,4,109.053199,-6.995172,2024-03-13,1
137662,4,109.052976,-6.995135,2024-03-13,1
137664,4,109.054279,-6.995145,2024-03-13,1
137666,4,109.054127,-6.995113,2024-03-13,1
137668,4,109.053873,-6.995082,2024-03-13,1
137669,4,109.053637,-6.995053,2024-03-13,1
137670,4,109.053425,-6.995026,2024-03-13,1
137671,4,109.053223,-6.995001,2024-03-13,1
137673,4,109.052999,-6.994977,2024-03-13,1
137692,4,109.052579,-6.994653,2024-03-13,1
137702,4,109.05259,-6.994493,2024-03-13,1
137714,4,109.052604,-6.994313,2024-03-13,1
137723,4,109.05262,-6.9941,2024-03-13,1
137734,4,109.052635,-6.993886,2024-03-13,1
137735,4,109.052463,-6.993874,2024-03-13,1
137744,4,109.052477,-6.9937,2024-03-13,1
137745,4,109.052366,-6.99368,2024-03-13,1
137746,4,109.052648,-6.993688,2024-03-13,1
137750,4,109.052492,-6.993523,2024-03-13,1
137751,4,109.052379,-6.9935,2024-03-13,1
137752,4,109.05266,-6.993499,2024-03-13,1
137753,4,109.052388,-6.993398,2024-03-13,1
137756,4,109.052668,-6.993368,2024-03-13,1
137757,4,109.052547,-6.993411,2024-03-13,1
138141,4,109.40689,-6.897707,2024-03-13,1
138142,4,109.406701,-6.897694,2024-03-13,1
